is_late,total_orders,total_revenue,avg_order_value,avg_review_score,avg_delivery_days,avg_installments,avg_freight_pct
On Time,89443,14176106.46,158.49,4.29,10.5,2.9,20.9
Late,6380,1113724.47,174.56,2.27,33.4,3.0,21.3
